Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
UPDATE,2000,0,2000,0.02162480,0.00001081,0.02162480,0.02162480,UPDATE reservation time
UPDATE,2000,0,1,0.00799918,0.00799918,0.00799918,0.00799918,UPDATE one message
UPDATE,2000,0,2673,0.05338120,0.00001997,0.01334530,0.01334530,All
DELETE,4000,0,38,0.13071275,0.00343981,0.13071275,0.13071275,DELETE many not in batch
DELETE,4000,0,3958,0.03831673,0.00000968,0.03831673,0.03831673,DELETE many in batch
DELETE,4000,0,3996,0.16902947,0.00004230,0.08451474,0.08451474,All
INSERT,2000,2000,16000,1.03963399,0.00006498,0.14851914,0.14851914,All
SELECT,2000,0,1262,0.01528621,0.00001211,0.01528621,0.01528621,SELECT group reservation per device
SELECT,2000,0,1262,0.01213217,0.00000961,0.01213217,0.01213217,SELECT count average reservation time per device
SELECT,2000,0,601,0.00605154,0.00001007,0.00605154,0.00605154,SELECT count number of admins
SELECT,2000,0,2000,0.01009154,0.00000505,0.01009154,0.01009154,SELECT find users
SELECT,2000,0,2000,0.00100064,0.00000050,0.00100064,0.00100064,SELECT count problems by status
SELECT,2000,0,1096,0.01110983,0.00001014,0.01110983,0.01110983,SELECT group messages per dormitory
SELECT,2000,0,8222,0.05867004,0.00000714,0.00651889,0.00651889,All
UPDATE,2000,0,652,0.05967021,0.00009152,0.05967021,0.05967021,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.01915956,0.00000958,0.01915956,0.01915956,UPDATE reservation time
UPDATE,2000,0,1,0.00405264,0.00405264,0.00405264,0.00405264,UPDATE one message
UPDATE,2000,0,2653,0.08488202,0.00003199,0.02122051,0.02122051,All
DELETE,4000,0,38,0.12950683,0.00340807,0.12950683,0.12950683,DELETE many not in batch
DELETE,4000,0,3958,0.09850264,0.00002489,0.09850264,0.09850264,DELETE many in batch
DELETE,4000,0,3996,0.22800946,0.00005706,0.11400473,0.11400473,All
INSERT,2000,2000,16000,0.98575211,0.00006161,0.14082173,0.14082173,All
SELECT,2000,0,1288,0.01303792,0.00001012,0.01303792,0.01303792,SELECT group reservation per device
SELECT,2000,0,1288,0.01116610,0.00000867,0.01116610,0.01116610,SELECT count average reservation time per device
SELECT,2000,0,640,0.00599456,0.00000937,0.00599456,0.00599456,SELECT count number of admins
SELECT,2000,0,2000,0.01002073,0.00000501,0.01002073,0.01002073,SELECT find users
SELECT,2000,0,2000,0.00219965,0.00000110,0.00219965,0.00219965,SELECT count problems by status
SELECT,2000,0,1110,0.01114559,0.00001004,0.01114559,0.01114559,SELECT group messages per dormitory
SELECT,2000,0,8327,0.05662560,0.00000680,0.00629173,0.00629173,All
UPDATE,2000,0,689,0.04289222,0.00006225,0.04289222,0.04289222,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.02273512,0.00001137,0.02273512,0.02273512,UPDATE reservation time
UPDATE,2000,0,1,0.00708246,0.00708246,0.00708246,0.00708246,UPDATE one message
UPDATE,2000,0,2690,0.07871246,0.00002926,0.01967812,0.01967812,All
DELETE,4000,0,38,0.15758419,0.00414695,0.15758419,0.15758419,DELETE many not in batch
DELETE,4000,0,3958,0.04298258,0.00001086,0.04298258,0.04298258,DELETE many in batch
DELETE,4000,0,3996,0.20056677,0.00005019,0.10028338,0.10028338,All
INSERT,2000,2000,16000,1.06416845,0.00006651,0.15202406,0.15202406,All
SELECT,2000,0,1250,0.01218748,0.00000975,0.01218748,0.01218748,SELECT group reservation per device
SELECT,2000,0,1250,0.00957179,0.00000766,0.00957179,0.00957179,SELECT count average reservation time per device
SELECT,2000,0,640,0.00705838,0.00001103,0.00705838,0.00705838,SELECT count number of admins
SELECT,2000,0,2000,0.00918698,0.00000459,0.00918698,0.00918698,SELECT find users
SELECT,2000,0,2000,0.00103402,0.00000052,0.00103402,0.00103402,SELECT count problems by status
SELECT,2000,0,1092,0.01103640,0.00001011,0.01103640,0.01103640,SELECT group messages per dormitory
SELECT,2000,0,8233,0.05411839,0.00000657,0.00601315,0.00601315,All
UPDATE,2000,0,701,0.03154612,0.00004500,0.03154612,0.03154612,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.01796746,0.00000898,0.01796746,0.01796746,UPDATE reservation time
UPDATE,2000,0,1,0.00600028,0.00600028,0.00600028,0.00600028,UPDATE one message
UPDATE,2000,0,2702,0.05851889,0.00002166,0.01462972,0.01462972,All
DELETE,4000,0,38,0.13832545,0.00364014,0.13832545,0.13832545,DELETE many not in batch
DELETE,4000,0,3958,0.03705096,0.00000936,0.03705096,0.03705096,DELETE many in batch
DELETE,4000,0,3996,0.17537642,0.00004389,0.08768821,0.08768821,All
INSERT,2000,2000,16000,1.01297641,0.00006331,0.14471092,0.14471092,All
SELECT,2000,0,1270,0.01506305,0.00001186,0.01506305,0.01506305,SELECT group reservation per device
